filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
01020N.png,7.013,2.045,11.537,4.441,36.75,0.616,1.735,0.874,0.041,62.019,0.389,0.115,0.648,0.866
01024N.png,6.909,1.935,10.452,4.294,34.049,0.576,1.756,1.008,0.034,62.791,0.357,0.151,0.604,0.794
01028N.png,6.693,1.528,10.835,4.53,30.65,0.633,1.393,1.022,0.038,62.282,0.313,0.178,0.498,0.771
01033N.png,6.685,1.553,10.946,4.421,32.991,0.641,1.486,0.949,0.032,63.082,0.367,0.113,0.598,0.851
01037N.png,6.736,2.049,9.619,3.698,34.551,0.715,1.705,0.832,0.026,63.957,0.394,0.074,0.709,1.016
01041N.png,6.839,1.895,11.253,4.602,33.965,0.684,1.607,0.769,0.033,62.897,0.395,0.103,0.712,0.969
01045N.png,6.842,1.668,12.16,5.077,33.223,0.687,1.582,0.772,0.035,62.664,0.378,0.117,0.66,0.999
01049N.png,6.787,1.759,11.564,4.576,31.999,0.636,1.683,0.835,0.038,62.334,0.4,0.099,0.648,0.963
01053N.png,6.821,1.699,11.508,4.634,33.302,0.655,1.631,0.874,0.036,62.57,0.356,0.119,0.621,0.934
01057N.png,6.718,1.7,10.698,4.524,33.23,0.73,1.429,0.806,0.035,62.698,0.361,0.103,0.658,0.965
01061N.png,6.858,2.067,10.783,4.339,36.183,0.713,1.485,0.775,0.035,62.705,0.415,0.058,0.742,1.049
01066N.png,6.81,1.545,10.441,3.985,30.154,0.627,1.55,1.049,0.046,61.529,0.3,0.157,0.501,0.838
01070N.png,6.995,1.698,11.444,4.653,33.625,0.609,1.702,0.884,0.049,61.219,0.334,0.157,0.641,0.919
01074N.png,6.887,1.989,10.884,4.0,31.828,0.575,1.626,1.066,0.044,61.7,0.378,0.133,0.668,0.928
01078N.png,6.829,2.012,9.354,3.547,31.317,0.59,1.563,1.066,0.046,61.543,0.328,0.133,0.587,0.892
01082N.png,7.203,1.987,11.324,4.316,39.045,0.529,1.623,1.249,0.069,59.769,0.231,0.374,0.487,0.803
01086N.png,6.959,1.941,10.983,4.107,35.96,0.616,1.763,0.852,0.038,62.383,0.444,0.085,0.703,0.933
01090N.png,7.197,1.92,12.139,4.673,42.336,0.627,1.747,0.857,0.049,61.257,0.435,0.106,0.691,0.968
01094N.png,6.945,1.751,11.272,4.334,35.894,0.698,1.502,0.803,0.031,63.263,0.415,0.07,0.746,0.978
01098N.png,7.022,1.862,11.57,4.518,35.673,0.652,1.604,0.897,0.037,62.472,0.403,0.092,0.672,0.919
01102N.png,6.931,2.057,11.229,4.18,35.738,0.712,1.573,0.868,0.032,63.095,0.453,0.066,0.711,0.987
01106N.png,6.816,1.586,11.073,4.241,32.378,0.683,1.473,1.228,0.06,60.355,0.332,0.099,0.364,0.736
01110N.png,6.844,1.76,9.43,3.587,33.836,0.687,1.424,1.121,0.045,61.618,0.341,0.079,0.515,0.828
01114N.png,6.828,1.968,10.018,3.674,32.576,0.633,1.579,0.929,0.036,62.574,0.4,0.054,0.668,0.926
01118N.png,7.066,1.899,11.466,4.299,38.511,0.673,1.439,1.117,0.06,60.366,0.318,0.147,0.456,0.815
01122N.png,6.838,2.009,9.895,3.582,37.168,0.739,1.307,1.159,0.047,61.428,0.291,0.117,0.418,0.805
01126N.png,6.889,2.349,9.871,3.828,41.086,0.839,0.965,0.905,0.041,61.97,0.301,0.09,0.573,0.955
01130N.png,6.871,1.774,9.955,3.894,34.232,0.714,1.431,1.136,0.044,61.733,0.341,0.1,0.496,0.835
01135N.png,6.901,1.749,9.732,3.984,31.808,0.564,1.647,1.419,0.058,60.505,0.307,0.14,0.428,0.685
01139N.png,6.713,1.797,10.228,4.027,31.561,0.644,1.609,1.227,0.035,62.676,0.337,0.114,0.414,0.755
01144N.png,6.836,1.794,9.129,3.207,30.919,0.656,1.489,1.234,0.037,62.435,0.4,0.061,0.546,0.857
01148N.png,6.837,1.671,9.312,3.711,30.971,0.595,1.581,0.98,0.037,62.408,0.385,0.109,0.635,0.855
01152N.png,6.767,1.571,9.52,3.673,30.306,0.631,1.406,1.004,0.033,62.892,0.379,0.078,0.627,0.876
01158N.png,6.986,1.791,10.307,4.109,35.279,0.689,1.557,0.767,0.029,63.571,0.408,0.088,0.773,0.969
01162N.png,6.92,2.097,9.508,3.565,34.036,0.636,1.474,0.886,0.038,62.282,0.337,0.061,0.6,0.792
01166N.png,6.845,1.548,11.439,4.387,32.726,0.628,1.65,1.007,0.046,61.514,0.335,0.121,0.448,0.774
01170N.png,6.866,1.557,10.922,4.317,33.35,0.665,1.535,1.079,0.047,61.421,0.261,0.162,0.377,0.686
01174N.png,7.048,1.884,10.136,4.106,36.744,0.645,1.587,0.843,0.044,61.702,0.344,0.141,0.6,0.87
01178N.png,6.896,2.352,8.58,3.173,36.813,0.693,1.364,1.06,0.038,62.325,0.337,0.058,0.511,0.734
01182N.png,6.853,1.515,9.92,3.993,32.866,0.637,1.515,1.316,0.047,61.405,0.304,0.112,0.372,0.686
