filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00695N.png,6.424,3.442,8.24,2.421,35.549,0.687,1.509,0.933,0.011,67.883,0.565,0.0,1.009,1.142
00702N.png,6.947,4.579,7.732,2.367,50.762,0.655,1.463,1.032,0.03,63.364,0.616,0.009,1.022,1.147
00706N.png,5.699,3.328,4.933,1.423,21.967,0.649,1.674,0.947,0.005,71.326,0.536,0.0,0.954,1.034
00710N.png,5.597,2.97,5.44,1.521,26.301,0.76,1.676,0.894,0.005,71.141,0.537,0.0,0.972,1.104
00714N.png,5.862,3.156,5.735,1.672,32.278,0.724,1.657,0.876,0.008,69.086,0.538,0.0,0.928,1.082
00718N.png,4.774,2.267,4.43,1.231,15.309,0.697,1.812,0.977,0.002,74.847,0.526,0.0,0.98,1.075
00722N.png,5.883,3.576,5.82,1.73,25.088,0.516,1.6,1.061,0.007,69.719,0.603,0.003,0.98,1.021
00726N.png,5.054,2.434,5.624,1.437,20.669,0.701,1.771,0.935,0.004,72.686,0.545,0.0,0.987,1.096
00730N.png,5.0,2.621,5.717,1.353,17.661,0.745,1.677,0.825,0.002,74.524,0.512,0.0,0.955,1.067
00734N.png,5.603,3.049,6.566,1.828,26.226,0.717,1.403,0.937,0.005,70.855,0.574,0.0,0.994,1.142
00738N.png,5.352,2.73,6.6,1.809,25.909,0.682,1.643,0.919,0.006,70.716,0.568,0.0,1.031,1.189
00742N.png,6.076,3.334,6.094,1.84,33.195,0.627,1.387,0.868,0.01,68.097,0.524,0.001,1.01,1.117
00746N.png,5.22,2.774,6.945,1.704,23.994,0.738,1.516,0.922,0.004,72.06,0.57,0.0,1.029,1.128
00750N.png,6.001,3.542,9.077,2.395,29.635,0.67,1.712,0.95,0.008,69.077,0.648,0.001,1.009,1.111
00754N.png,6.037,3.592,8.664,2.308,37.431,0.692,1.499,0.948,0.012,67.419,0.624,0.002,1.0,1.11
00758N.png,5.713,3.117,7.645,1.863,22.368,0.687,1.808,0.899,0.005,71.491,0.57,0.002,1.002,1.094
00762N.png,5.068,2.488,6.631,1.592,20.058,0.725,1.636,0.82,0.003,73.262,0.531,0.0,1.014,1.123
00766N.png,6.239,3.367,8.14,2.281,25.285,0.799,1.577,0.898,0.004,71.682,0.544,0.003,1.054,1.165
00770N.png,6.003,3.356,8.849,2.749,27.481,0.754,1.76,1.07,0.006,70.172,0.684,0.002,1.019,1.153
00774N.png,4.98,2.467,7.204,1.604,20.277,0.729,1.875,0.993,0.003,73.445,0.575,0.009,1.021,1.094
00778N.png,5.796,3.144,7.661,2.476,20.608,0.749,1.58,0.964,0.004,72.001,0.655,0.0,0.98,1.115
00782N.png,5.906,3.196,7.806,2.447,23.253,0.716,1.681,0.914,0.005,71.058,0.647,0.0,0.973,1.117
00786N.png,5.408,3.044,6.26,2.007,15.456,0.781,1.528,0.9,0.002,75.387,0.609,0.0,0.967,1.119
00790N.png,5.719,3.587,7.551,2.472,20.414,0.743,1.62,0.943,0.004,72.151,0.675,0.0,0.952,1.087
00794N.png,5.43,3.033,6.655,2.138,18.269,0.773,1.59,0.931,0.003,73.809,0.634,0.0,0.954,1.116
00798N.png,4.937,2.555,5.846,1.499,20.283,0.743,1.722,0.907,0.003,73.214,0.557,0.0,0.951,1.071
00802N.png,5.221,2.807,5.129,1.285,19.159,0.698,1.875,1.001,0.003,73.431,0.529,0.003,1.006,1.072
00806N.png,5.584,3.311,6.5,2.053,22.691,0.757,1.763,1.042,0.004,71.698,0.672,0.0,0.976,1.114
00810N.png,5.741,2.955,5.73,1.682,27.56,0.769,1.787,1.065,0.005,70.768,0.567,0.003,1.026,1.082
00815N.png,5.175,2.75,6.596,1.777,20.909,0.691,1.663,0.915,0.003,72.896,0.576,0.001,1.034,1.112
00819N.png,6.192,4.074,8.486,2.51,31.211,0.604,1.77,0.959,0.011,67.704,0.663,0.001,1.001,1.054
00823N.png,6.182,3.944,7.524,2.143,30.458,0.623,1.773,0.987,0.011,67.815,0.62,0.002,0.976,1.059
00828N.png,6.308,3.857,7.957,2.478,51.041,0.754,1.559,0.948,0.019,65.394,0.612,0.0,0.984,1.081
00832N.png,6.565,4.377,7.706,2.362,41.799,0.596,1.144,0.943,0.021,64.987,0.65,0.001,0.975,1.045
00838N.png,6.609,4.291,6.618,1.943,45.083,0.71,1.418,0.94,0.019,65.355,0.544,0.001,0.942,1.038
00842N.png,5.164,2.381,7.122,1.743,27.906,0.707,1.728,1.124,0.006,70.586,0.599,0.003,1.044,1.179
00846N.png,5.975,3.571,6.916,1.939,31.462,0.63,1.632,1.04,0.009,68.372,0.595,0.007,1.021,1.056
00850N.png,5.549,2.939,9.228,2.36,35.524,0.692,1.808,1.028,0.01,68.28,0.639,0.003,1.014,1.117
00854N.png,5.534,3.138,6.464,2.435,20.85,0.747,1.784,1.035,0.005,71.428,0.69,0.001,1.017,1.106
00858N.png,5.419,2.437,6.593,2.233,19.459,0.704,1.834,0.931,0.004,72.317,0.616,0.001,1.001,1.071
00862N.png,5.529,2.839,8.243,2.915,24.809,0.664,1.889,1.025,0.007,69.716,0.715,0.002,0.997,1.054
00866N.png,5.516,2.675,6.783,2.518,17.068,0.634,1.787,0.934,0.004,71.841,0.641,0.001,0.979,1.056
00870N.png,5.29,2.501,6.472,2.439,14.618,0.702,1.817,0.996,0.003,73.776,0.667,0.004,1.007,1.064
00874N.png,5.77,3.306,8.953,3.295,20.729,0.684,1.809,0.986,0.005,70.89,0.747,0.0,0.964,1.037
00878N.png,5.284,2.366,6.87,2.326,19.534,0.745,1.68,0.832,0.003,73.349,0.565,0.0,0.957,1.059
00882N.png,5.564,2.665,6.041,2.057,20.745,0.772,1.601,0.808,0.003,73.497,0.496,0.0,0.968,1.028
00886N.png,5.664,2.756,5.972,1.981,24.194,0.674,1.735,0.884,0.005,71.112,0.506,0.0,0.961,1.004
00890N.png,6.889,3.998,6.821,2.15,45.46,0.663,1.849,0.869,0.025,64.131,0.5,0.001,0.936,1.014
00894N.png,5.968,3.033,7.598,2.434,30.822,0.678,1.815,0.878,0.009,68.682,0.541,0.001,0.971,1.026
00898N.png,5.403,2.648,5.878,1.9,22.002,0.757,1.441,0.89,0.003,73.087,0.499,0.0,0.992,1.076
00902N.png,6.537,3.461,7.749,2.473,40.263,0.742,1.546,0.807,0.012,67.184,0.47,0.001,1.015,1.143
00906N.png,6.325,2.967,8.933,3.058,35.845,0.757,1.524,0.815,0.009,68.553,0.536,0.0,1.003,1.097
00910N.png,6.652,3.223,9.553,3.293,55.133,0.665,1.713,0.892,0.028,63.69,0.585,0.0,0.981,1.073
00914N.png,6.272,2.765,8.651,2.834,32.32,0.699,1.567,0.781,0.01,68.309,0.548,0.0,0.975,1.009
00918N.png,6.688,3.428,8.426,2.762,41.432,0.732,1.444,0.795,0.015,66.477,0.505,0.0,0.961,1.049
00922N.png,6.612,3.53,8.175,2.646,34.564,0.747,1.599,0.795,0.01,68.227,0.52,0.001,0.983,0.973
00927N.png,6.529,3.226,8.603,3.03,33.332,0.739,1.587,0.776,0.009,68.495,0.527,0.0,0.995,1.049
00931N.png,7.044,3.984,8.321,2.847,46.938,0.718,1.59,0.827,0.021,64.86,0.498,0.001,0.987,1.062
00935N.png,6.559,3.287,8.962,3.1,37.223,0.702,1.559,0.944,0.012,67.185,0.593,0.0,0.988,1.002
00939N.png,6.625,3.521,9.053,2.893,33.87,0.744,1.617,0.845,0.01,68.251,0.536,0.001,1.005,1.06
00943N.png,6.568,3.763,9.986,3.223,39.085,0.744,1.656,0.887,0.012,67.202,0.587,0.001,0.975,1.073
00947N.png,6.78,3.637,9.823,3.037,46.815,0.795,1.32,0.81,0.014,66.61,0.529,0.0,0.981,1.104
00951N.png,5.567,3.036,7.994,2.617,25.042,0.816,1.575,0.853,0.004,72.101,0.615,0.0,0.984,1.109
