filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00819N.png,6.17,2.278,8.28,2.713,31.784,0.636,1.79,0.825,0.011,67.838,0.528,0.016,0.933,1.064
00823N.png,6.101,2.011,7.72,2.404,29.387,0.672,1.731,0.842,0.01,68.176,0.491,0.019,0.915,1.065
00828N.png,6.335,2.441,8.408,2.883,55.929,0.785,1.801,0.803,0.021,64.835,0.518,0.018,0.923,1.099
00832N.png,6.559,2.426,8.044,2.683,41.049,0.64,1.45,0.835,0.019,65.304,0.514,0.014,0.911,1.049
00838N.png,6.36,2.167,7.331,2.371,45.33,0.755,1.62,0.809,0.018,65.569,0.472,0.017,0.892,1.072
00842N.png,5.303,1.651,6.821,1.89,29.589,0.715,1.84,0.991,0.007,69.906,0.493,0.014,0.918,1.125
00846N.png,5.866,2.224,6.452,2.024,28.74,0.665,1.56,0.877,0.008,69.114,0.45,0.025,0.933,1.058
00850N.png,5.58,1.789,8.84,2.593,37.038,0.716,1.845,0.874,0.011,67.859,0.521,0.018,0.93,1.094
00854N.png,5.655,1.8,5.873,2.297,23.789,0.754,1.89,0.874,0.005,70.967,0.438,0.018,0.878,1.076
00858N.png,5.547,1.518,6.229,2.194,21.477,0.708,1.874,0.77,0.004,71.734,0.424,0.015,0.879,1.047
00862N.png,5.638,1.597,7.606,2.807,25.265,0.685,1.917,0.818,0.007,69.843,0.489,0.018,0.875,1.024
00866N.png,5.769,1.537,6.797,2.671,19.916,0.664,1.892,0.795,0.005,71.215,0.463,0.018,0.874,1.039
00870N.png,5.462,1.431,5.704,2.335,16.171,0.704,1.862,0.787,0.003,73.445,0.432,0.02,0.873,1.012
00874N.png,6.013,1.929,8.48,3.394,24.812,0.703,1.91,0.757,0.007,69.755,0.506,0.018,0.866,1.015
00878N.png,5.743,1.629,7.481,2.851,24.468,0.741,1.864,0.709,0.005,71.218,0.437,0.025,0.906,1.039
00882N.png,5.824,1.714,6.72,2.604,24.029,0.767,1.734,0.701,0.004,71.903,0.407,0.026,0.921,1.03
00886N.png,5.887,1.862,6.272,2.398,26.068,0.682,1.802,0.766,0.006,70.306,0.408,0.022,0.9,1.01
00890N.png,6.821,2.57,7.741,2.821,44.845,0.681,1.858,0.659,0.023,64.5,0.41,0.03,0.827,1.034
00894N.png,6.091,1.921,8.334,2.993,33.025,0.668,1.857,0.642,0.01,68.021,0.424,0.025,0.904,1.053
00898N.png,5.644,1.78,6.338,2.285,25.316,0.775,1.701,0.745,0.004,71.63,0.387,0.025,0.903,1.067
00902N.png,6.571,2.16,8.944,3.241,43.262,0.768,1.712,0.638,0.014,66.719,0.399,0.029,0.953,1.156
00906N.png,6.599,2.071,9.975,3.806,41.608,0.767,1.751,0.647,0.012,67.338,0.429,0.031,0.953,1.114
00910N.png,6.836,2.194,10.269,3.935,55.293,0.694,1.775,0.697,0.027,63.771,0.465,0.025,0.894,1.081
