filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00823N.png,6.023,2.826,9.442,2.663,30.434,0.644,1.737,0.963,0.01,68.039,0.629,0.021,0.933,1.053
00828N.png,6.191,2.766,10.517,3.285,55.843,0.744,1.63,0.915,0.022,64.618,0.634,0.023,0.94,1.066
00832N.png,6.512,3.398,9.888,3.002,44.12,0.608,1.36,0.965,0.022,64.784,0.667,0.016,0.933,1.023
00838N.png,6.412,3.059,9.168,2.693,46.302,0.714,1.417,0.916,0.02,65.218,0.596,0.021,0.922,1.041
00842N.png,4.752,1.541,8.154,2.063,28.099,0.682,1.549,1.018,0.006,70.612,0.619,0.013,0.947,1.108
00846N.png,5.662,2.571,7.87,2.286,28.914,0.638,1.389,0.989,0.008,69.229,0.611,0.028,0.951,1.021
00850N.png,5.268,1.998,10.543,2.838,36.426,0.689,1.742,0.991,0.01,68.11,0.658,0.019,0.943,1.068
00854N.png,5.25,1.966,8.095,2.751,21.604,0.741,1.772,0.938,0.004,71.844,0.692,0.023,0.935,1.056
00858N.png,5.165,1.464,8.286,2.76,19.441,0.696,1.745,0.891,0.004,72.602,0.667,0.018,0.925,1.003
00862N.png,5.264,1.705,9.433,3.205,23.293,0.688,1.852,0.967,0.006,70.715,0.727,0.015,0.922,1.001
00866N.png,5.383,1.574,8.702,3.118,17.656,0.654,1.778,0.926,0.004,72.223,0.708,0.014,0.92,1.002
00870N.png,5.023,1.511,7.602,2.741,13.963,0.687,1.694,0.911,0.002,74.866,0.69,0.015,0.923,0.993
00874N.png,5.641,2.383,10.7,3.852,21.918,0.7,1.819,0.969,0.005,70.912,0.76,0.013,0.934,1.006
00878N.png,5.296,1.715,9.761,3.331,22.048,0.72,1.683,0.902,0.004,72.37,0.671,0.026,0.944,1.012
00882N.png,5.436,1.733,8.76,3.051,21.4,0.751,1.506,0.825,0.003,72.959,0.608,0.026,0.933,0.986
00886N.png,5.582,1.973,8.459,2.88,25.21,0.657,1.675,0.915,0.006,70.715,0.619,0.028,0.909,0.962
00890N.png,6.857,3.032,10.01,3.266,45.748,0.666,1.83,0.802,0.024,64.284,0.579,0.027,0.819,1.0
00894N.png,5.867,2.03,10.588,3.488,29.97,0.665,1.748,0.763,0.009,68.801,0.62,0.021,0.915,1.008
00898N.png,5.339,1.923,8.664,2.835,23.401,0.744,1.418,0.931,0.004,72.387,0.63,0.03,0.954,1.027
00902N.png,6.383,2.337,12.092,3.867,41.91,0.735,1.5,0.761,0.013,66.858,0.584,0.033,0.943,1.105
00906N.png,6.31,2.205,13.296,4.484,38.98,0.739,1.532,0.813,0.011,67.811,0.615,0.036,0.956,1.068
00910N.png,6.681,2.606,13.495,4.617,60.657,0.65,1.736,0.88,0.033,62.955,0.639,0.03,0.928,1.055
00914N.png,6.328,2.273,12.814,4.145,36.78,0.677,1.588,0.801,0.012,67.338,0.622,0.034,0.93,0.996
00918N.png,6.672,2.609,12.944,4.188,44.605,0.716,1.395,0.8,0.018,65.7,0.606,0.037,0.929,1.034
00922N.png,6.546,2.571,11.542,3.926,37.017,0.726,1.543,0.825,0.011,67.59,0.614,0.037,0.929,0.962
00927N.png,6.549,2.508,12.664,4.504,36.709,0.708,1.555,0.802,0.011,67.705,0.628,0.034,0.946,1.017
00931N.png,7.048,2.756,12.481,4.366,47.973,0.711,1.504,0.783,0.023,64.587,0.589,0.035,0.91,1.026
00935N.png,6.543,2.562,12.676,4.24,41.079,0.671,1.539,0.886,0.015,66.499,0.626,0.032,0.934,0.992
00939N.png,6.549,2.341,13.069,4.242,35.507,0.716,1.513,0.828,0.011,67.825,0.622,0.032,0.935,1.038
00943N.png,6.477,2.702,14.149,4.53,40.931,0.714,1.559,0.856,0.014,66.751,0.647,0.032,0.922,1.057
00947N.png,6.694,2.652,14.286,4.565,49.244,0.78,1.296,0.811,0.016,66.103,0.62,0.033,0.939,1.074
00951N.png,5.494,2.099,11.06,3.455,26.561,0.803,1.539,0.875,0.004,71.723,0.661,0.03,0.932,1.06
00955N.png,5.613,2.11,10.857,3.565,28.292,0.789,1.535,0.922,0.006,70.156,0.688,0.024,0.924,1.06
00959N.png,5.862,2.279,12.495,4.145,35.262,0.774,1.538,0.948,0.01,68.082,0.713,0.02,0.928,1.082
00964N.png,4.091,1.849,9.121,1.923,31.953,0.633,1.747,1.078,0.008,68.903,0.735,0.005,0.753,1.013
00968N.png,5.089,1.893,8.803,2.55,28.072,0.787,1.337,0.942,0.005,71.583,0.615,0.03,0.948,1.066
00972N.png,5.361,1.535,8.468,2.707,23.902,0.717,1.54,0.897,0.004,72.018,0.611,0.029,0.932,1.028
00976N.png,6.061,2.405,8.806,2.727,36.264,0.619,1.509,0.877,0.012,67.519,0.581,0.03,0.973,1.026
00980N.png,5.108,1.603,6.123,1.918,14.845,0.647,1.692,0.935,0.002,74.551,0.591,0.017,0.961,1.051
00984N.png,5.419,1.942,9.96,2.722,29.678,0.732,1.674,0.978,0.006,70.276,0.659,0.019,0.952,1.098
00988N.png,4.962,1.507,9.438,2.641,24.491,0.767,1.447,0.945,0.004,72.458,0.65,0.029,0.946,1.062
00992N.png,4.777,1.433,7.968,2.3,20.219,0.71,1.727,0.977,0.003,73.217,0.638,0.023,0.937,0.999
00996N.png,5.065,1.446,7.911,2.344,20.937,0.683,1.756,0.924,0.004,72.627,0.609,0.025,0.938,0.991
01000N.png,5.027,1.531,7.858,2.239,22.703,0.656,1.779,0.914,0.004,71.681,0.603,0.023,0.933,1.025
01004N.png,5.221,1.802,7.325,2.162,26.288,0.812,1.515,0.854,0.004,72.333,0.562,0.025,0.963,1.124
01008N.png,5.477,1.829,8.459,2.374,37.454,0.705,1.585,0.91,0.012,67.32,0.596,0.017,0.901,1.032
01012N.png,5.131,1.74,8.608,2.494,29.64,0.737,1.688,0.942,0.007,69.994,0.647,0.015,0.958,1.124
01016N.png,5.716,2.07,8.959,2.719,33.975,0.771,1.643,0.979,0.008,69.287,0.651,0.019,0.94,1.064
01020N.png,6.436,2.76,9.975,3.196,36.463,0.535,1.77,0.994,0.015,66.444,0.644,0.023,0.938,0.982
01024N.png,5.981,2.441,7.71,2.581,29.533,0.499,1.759,1.059,0.009,68.368,0.646,0.021,0.903,0.952
01028N.png,5.291,1.845,7.552,2.505,19.815,0.728,1.701,0.929,0.004,72.09,0.678,0.016,0.906,0.971
01033N.png,5.564,2.035,9.251,2.897,26.79,0.701,1.753,1.041,0.007,69.829,0.683,0.018,0.915,0.997
01037N.png,5.853,2.025,8.725,2.865,27.087,0.731,1.614,0.875,0.006,70.364,0.606,0.021,0.953,1.104
01041N.png,6.209,2.148,10.161,3.45,28.006,0.672,1.514,0.892,0.007,69.584,0.616,0.032,0.949,1.034
01045N.png,5.845,1.719,10.982,3.657,27.961,0.705,1.68,0.862,0.006,70.34,0.623,0.034,0.977,1.144
01049N.png,5.831,1.756,10.197,3.29,27.316,0.667,1.834,0.94,0.007,69.788,0.642,0.024,0.98,1.107
01053N.png,6.041,1.992,10.467,3.23,31.433,0.62,1.721,0.902,0.009,68.543,0.619,0.027,0.946,1.114
01057N.png,5.823,1.833,10.52,3.369,34.694,0.716,1.602,0.921,0.009,68.82,0.636,0.033,0.964,1.106
01061N.png,6.566,2.505,11.966,3.951,46.894,0.655,1.644,0.937,0.019,65.333,0.641,0.031,0.932,1.099
01066N.png,5.44,1.591,8.405,2.283,20.653,0.606,1.587,0.896,0.004,72.274,0.594,0.02,0.956,1.113
01070N.png,6.093,1.826,9.529,2.975,25.374,0.551,1.649,0.894,0.007,69.775,0.615,0.022,0.978,1.112
